duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
98166217,98166184,98166106,3,9,23243452,23306900,229360.242991,137873.744382,11.63333,7374.359756,3,23243452,86035.247152,1115079.871941,1645401,7539145.384615,23281585,8143650.477603,1453279,6965511.076923,23243452,8132933.866283,VPN-BROWSING
64999929,64999929,64934941,11,11,58386458,58346734,335051.180412,170881.423684,8.861548,7825.039317,1,58321353,113043.354783,2444877.063694,6385743,32500000,58549321,36900000,6080986,32200000,58321353,36900000,VPN-BROWSING
119960661,119483773,119908114,3,0,7010702,6909339,330979.980609,201188.110738,7.994287,4309.679487,0,6778155,125219.89666,456610.41659,1305781,7520705.333333,22209933,6123488.139568,1010431,2913416.8,6778155,1948350.509164,VPN-BROWSING
100207594,100182057,100181910,22,14,58246240,58246482,753248.548872,461667.788018,3.512708,2794.179451,3,58221015,285491.720798,3780732.456974,40574562,50100000,59577133,13400000,40510604,49400000,58221015,12500000,VPN-BROWSING
116066649,116001269,116041089,2,12,17885264,17796079,290729.997494,231618.94012,7.771397,3720.931066,2,17796079,128819.810211,1215073.497713,3730975,10500000,18658885,5374334.528399,3692911,9756498.909091,17796079,5429313.543122,VPN-BROWSING
91725424,91524990,91524139,2,17,45199951,45262593,933928.469388,520023.517045,3.00898,2643.727218,1,45024030,333546.996364,3831261.335874,45199951,45800000,46325039,795557.354231,45000444,45000000,45024030,16677.820511,VPN-BROWSING
119941617,119864941,119941617,26,0,9773573,9592825,183560.399694,125461.942469,13.431535,2668.781762,0,9592825,74497.898758,414900.631247,1173271,5088964.173913,26700392,5223663.202742,1018642,2864147.956522,9592825,1933842.041717,VPN-BROWSING
119845953,119845953,119765192,3,0,12866575,12918003,479383.812,315171.557895,5.273436,2682.551992,0,12866455,189930.194929,842127.810927,1664945,5447444.454545,28980118,6127969.547331,1064627,3188806.409091,12866455,3277219.097877,VPN-BROWSING
65251194,65251194,65189640,28,18,58758072,58718659,709252.108696,385737.514793,4.030578,3298.974115,7,58692892,249050.358779,3639363.372052,6404373,32600000,58784792,37000000,5258623,32000000,58692892,37800000,VPN-BROWSING
116676775,116612417,116651166,3,14,58275355,58275677,332229.108262,285909.720588,6.522292,3068.451283,1,58249956,153522.072368,2326416.073554,2025631,12900000,58362349,18500000,1637624,12100000,58249956,18700000,VPN-BROWSING
119860656,119814722,119860656,3,0,20044543,20291316,493064.699588,337635.650704,5.005813,2694.019963,0,20044543,200101.262104,1009877.143712,1164611,5342039.409091,23765863,5925554.258847,1000432,3265340.363636,20044543,4240735.052685,VPN-BROWSING
117866537,117866537,117737657,3,0,14087217,13798733,473359.586345,367930.178125,4.844462,2237.921014,0,13798733,206783.398246,748763.243197,1647861,7363645,19639116,5592050.426151,1004519,3153554.6875,13798733,3201126.177468,VPN-BROWSING
65817281,65817281,65755717,6,13,58899910,58899593,419218.350318,292247.631111,5.834334,3077.444053,3,58874358,171846.686684,3009546.983518,1388633,16400000,59042280,28400000,1071144,15600000,58874358,28800000,VPN-BROWSING
119689477,119386337,119689477,3,0,16101518,16206301,464538.276265,395014.775578,4.695484,2487.520269,0,16101518,213350.226381,853316.008589,1418149,5062452.454545,16398171,3467271.886254,1004445,2762667.272727,16101518,3351200.910223,VPN-BROWSING
118078059,118078059,114276585,46,22,10156934,10155646,1736442.044118,852810.335821,1.727671,1411.456128,8,10026381,581665.315271,2279976.983406,1580433,9082923.307692,11247875,2889531.891621,1311555,8856751.846154,10026381,2866543.656525,VPN-BROWSING
1301313,1123688,1095209,57,29,433543,467191,18124,9607.096491,136.784924,119994.190483,4,232813,7352.050847,33936.323837,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
70236371,70107977,70105182,4,19,58319581,58317758,497219.695035,361366.917526,4.798084,2281.595671,4,58189463,209036.818452,3177058.540024,3836965,23400000,58513631,30500000,1618850,20700000,58189463,32400000,VPN-BROWSING
601185075,1114228,600965621,20,22,224169,600070854,11728.715789,5834617.679612,0.332676,236.537808,3,600070847,3021030.527638,42500000,601185075,601000000,601185075,0,600070847,600000000,600070847,0,VPN-BROWSING
601404954,1295300,601185122,12,14,406429,600109667,15796.341463,5836748.757282,0.310939,235.323968,2,600109654,3233359.967742,44000000,601404954,601000000,601404954,0,600109654,600000000,600109654,0,VPN-BROWSING
119827007,119633315,119827007,25,18,6670552,6489766,278865.536131,187522.70266,8.92954,1654.810589,8,6489766,112092.616464,542447.564687,1224744,3693240.5,9972459,2212453.324115,1074164,2658088.375,6489766,1699654.521497,VPN-BROWSING
119920196,119919697,119907010,35,17,4888441,4888176,286889.227273,192467.110754,8.697451,1614.665473,5,4887620,115086.560461,538129.408015,1310828,3603161.424242,5502867,1375620.854119,1104710,2786770.787879,4887620,1280961.752137,VPN-BROWSING
91341248,91127450,91128150,27,8,45215959,45214237,1084850.595238,920486.363636,2.025372,1467.737774,2,45000439,496419.826087,4678043.091196,45215959,45600000,45911491,491815.393731,44997980,45000000,45000439,1738.775287,VPN-BROWSING
119796854,119796854,119658456,4,18,8310999,8309661,279899.191589,194566.595122,8.723101,1630.067848,4,8308762,114747.944444,594230.743228,1267699,4414245.074074,13490414,2558275.239427,1119652,3167192.814815,8308762,1972507.251445,VPN-BROWSING
119937716,119937716,119808759,31,26,58875561,59004996,1480712.54321,1089170.536364,1.609169,1126.99328,2,58875561,624675.604167,5979848.992369,1645791,39900000,59155427,33200000,1214855,39600000,58875561,33200000,VPN-BROWSING
115124175,114939636,115124175,35,17,6071188,5890886,296236.175258,196793.461538,8.469116,1566.7691,8,5890886,118197.304928,609406.750046,1224501,4520697.2,7620951,1657078.358458,1071307,3535287.36,5890886,1533225.709734,VPN-BROWSING
110526806,110526806,110462414,1,6,24138151,24076585,364774.937294,283965.07455,6.27902,1841.679927,1,24076585,159490.340548,1581253.777747,1419248,8499077.538462,24423168,8708192.932563,1111794,7881356.076923,24076585,8848596.275704,VPN-BROWSING
119798987,119798987,119699685,3,0,56603155,56675600,914496.083969,623435.859375,2.712878,1489.720443,0,56603155,369749.959877,3253438.647117,1157176,8846013.461538,56689201,14700000,1040262,7338531.615385,56603155,15100000,VPN-BROWSING
119774901,119774901,119490228,3,0,6367778,6454921,228578.055344,413460.99654,6.804431,4756.655988,0,6367778,147143.613022,373152.160273,1513905,4931442.833333,30388093,6320751.598976,1000584,1676261.708333,6367778,1142205.120986,VPN-BROWSING
243280799,3287480,243252392,30,10,2426318,239993334,80182.439024,3378505.444444,0.472705,402.440309,6,239993319,2134042.096491,22500000,2628586,122000000,240652213,168000000,2426318,121000000,239993319,168000000,VPN-BROWSING
116340004,116340004,112512642,14,22,10145227,10145202,1817812.5625,1308286.534884,1.306515,842.10071,5,10014997,770463.602649,2616413.302843,3825489,9694999.166667,11078316,1867845.799835,3695570,9485057.75,10014997,1823228.99438,VPN-BROWSING
110472611,110341729,110336926,27,18,20897877,20895769,429345.249027,314350.216524,5.521731,1219.822712,8,20765065,181400.018062,1284954.88576,1355819,7785740.571429,25197437,6356387.846092,1051163,6434087.857143,20765065,5809032.61985,VPN-BROWSING
60831089,60688772,60689982,31,19,58153783,58117218,866982.457143,705697.465116,2.597356,1535.629257,8,57975001,387459.165605,4625938.307755,60688772,60700000,60688772,0,57975001,58000000,57975001,0,VPN-BROWSING
840977,631649,632952,59,21,208580,209695,21054.966667,11508.218182,103.451105,92086.941736,3,209328,9778.802326,42588.809745,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13441209,13441209,10216500,33,33,9997631,10050042,258484.788462,185754.545455,8.10939,5679.548618,8,9997631,124455.638889,1006292.875448,3223699,6720604.5,10217510,4945371.184437,3171311,6584471,9997631,4826937.162549,VPN-BROWSING
119050258,119049933,119048173,29,18,7327429,7149664,459652.250965,312462.396325,5.39268,924.391109,15,7149664,185725.831513,791945.491322,1492666,4085321.206897,8747290,1775053.738577,1091843,3435945.655172,7149664,1633662.008331,VPN-BROWSING
889711,701650,673562,57,23,241493,215448,24194.827586,12473.37037,95.536641,85054.585141,0,215979,10591.797619,43147.630733,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
436245,257620,212252,59,22,182081,163608,9200.714286,3930.592593,192.55235,169794.496212,3,181806,5255.963855,27094.332999,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
823694,644536,618284,106,26,206367,204949,22225.37931,11449.703704,103.193662,91775.586565,11,205258,9805.880952,40873.608374,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
108694283,108694283,108587476,3,0,16531734,16532662,597221.335165,723916.506667,3.072839,1828.679435,0,16476983,326409.258258,1262924.725772,1238086,4345419.4,16532662,3679577.282865,1005333,3077445.04,16476983,3606423.594643,VPN-BROWSING
114105020,114039625,114078495,3,9,9929598,9929726,351974.151235,309995.910326,6.082116,1966.845981,1,9904218,164653.708514,1141541.418687,2550822,8060440.5,10021545,2800781.80588,1693399,7565538.285714,9904218,3005518.777288,VPN-BROWSING
116506475,116287024,116286718,0,7,45040007,45259492,874338.526316,945420.471545,2.214469,1561.732942,0,45040007,453332.587549,4019283.544183,5361370,23300000,45886922,20800000,5139655,21800000,45040007,21200000,VPN-BROWSING
113328087,113302747,113302903,2,4,9120960,9120305,372706.404605,287570.819797,6.176757,1371.804679,2,9094980,162128.879828,969955.562141,1431929,5391812.761905,10423031,3043269.152264,1323699,4839137.190476,9094980,2993530.114017,VPN-BROWSING
119735262,119734323,119685436,8,29,6573830,6523993,171293.738197,311680.822917,9.061658,4495.684822,6,6523901,110456.883764,369052.246821,1129630,3987648.966667,16280820,3278572.211701,1033413,1705429.4,6523901,1181988.304872,VPN-BROWSING
119609758,119121978,119609758,8,29,6506042,6602820,309407.735065,488203.093878,5.28385,2035.486101,6,6294301,189555.876387,517547.464309,1623534,6889241.5625,37583732,8735249.724625,1071093,2625358.8125,6294301,1792012.63598,VPN-BROWSING
90359367,90333391,90332419,83,14,45168044,45168079,2656864.441176,1806648.38,0.951755,612.045014,7,45142103,1063051.376471,6872214.230034,45165347,45200000,45168044,1907.066727,45003756,45100000,45142103,97826.101852,VPN-BROWSING
113535833,113510644,113510417,2,5,8577654,8577785,431599.406844,317956.35014,5.478447,1181.873568,2,8552453,182827.428341,996135.7213,1178342,5401527.095238,12085257,4252391.739487,1077540,4501891.190476,8552453,3170009.348042,VPN-BROWSING
91078688,90863119,90861862,37,44,45212000,45212623,2163407.595238,2216142.97561,0.933259,596.045037,7,44997349,1084270.095238,6899427.098452,45212000,45400000,45651119,310504.022646,44997054,45000000,44997349,208.594103,VPN-BROWSING
112769822,112744493,112744576,2,5,7706690,7706630,428686.285171,318487.502825,5.489057,1178.338297,2,7681398,182475.440129,955170.363479,1166741,4694600,11037697,2998138.170794,1057192,4071239.541667,7681398,2794528.993064,VPN-BROWSING
119995729,118574384,119995729,2,4,7475283,7475433,464997.584314,353969.702065,4.966843,1109.506156,2,7449993,201673.494118,994325.632522,1395679,4281919.714286,7896658,2380529.602303,1312913,3956714.035714,7449993,2516002.238033,VPN-BROWSING
116430355,116405049,116405048,1,5,7853958,7854140,471275.502024,349564.708709,4.998696,1111.677449,1,7828737,200396.480207,977706.215266,1693434,3752466.83871,7923619,2526045.753192,1024406,3446093.967742,7828737,2632362.775058,VPN-BROWSING
115953166,115953166,112128338,33,34,10145230,10145739,2415690.958333,2156314.192308,0.879666,465.446541,9,10014927,1148051.148515,3136024.703726,3824460,9662756.75,10692681,1845350.890231,3694543,9485661.75,10014927,1823733.729886,VPN-BROWSING
119166177,119140932,119140593,2,4,8834678,8835385,465394.265625,352486.961538,5.001419,1101.780751,2,8809456,200279.289076,987604.203131,1144373,3469738.205882,10026668,2721362.332802,1010120,3255586.294118,8809456,2700134.584811,VPN-BROWSING
118192254,118167085,118166788,2,5,8075536,8075983,468917.003968,351686.869048,4.991867,1108.40597,2,8050440,200665.966044,983497.324138,1456399,3374270.885714,8152915,2608295.512037,1243678,3224129.514286,8050440,2591203.268616,VPN-BROWSING
118395812,118370407,118369871,1,4,8207455,8207876,477300.028226,357612.903323,4.907268,1099.895324,1,8182266,204130.710345,1010463.075274,1677568,3815998.548387,8325997,2758732.762665,1578059,3549745.483871,8182266,2726700.054838,VPN-BROWSING
118708624,118577001,118578915,7,19,13056590,13054294,383744.339806,262924.423503,6.419079,917.96195,1,12924991,155990.30749,848460.98917,1426190,4553949.230769,13330297,3374096.338209,1003212,3324257.230769,12924991,3278302.657133,VPN-BROWSING
118086673,118061470,118061387,2,5,7944588,7944560,477981.659919,357761.778788,4.903178,1083.060406,2,7919199,204302.202422,966687.213284,1606286,3277378.805556,8022216,2426434.075215,1328128,3121336.722222,7919199,2462797.618172,VPN-BROWSING
118270091,118244862,118244713,2,5,8089089,8088867,486604.37037,360502.17378,4.844843,1074.971693,1,8063522,206765.893357,1014415.70722,1347603,3376334,8165904,2659072.463077,1247513,3248005.314286,8063522,2671173.204211,VPN-BROWSING
114651993,114626776,114626706,1,5,8751957,8752225,462204.741935,344224.342342,5.084953,1130.368488,1,8726741,196996.551546,1019032.537281,1178095,5206978.409091,13122113,3668105.27482,1063039,4364342,8726741,3066922.208872,VPN-BROWSING
119969751,119943798,119944352,1,5,8490482,8490814,483644.346774,366802.299694,4.809546,1094.225827,1,8465272,208280.817708,1066831.697243,1476976,4997653.5,8563956,2501057.577302,1101593,4523200.666667,8465272,2831342.328102,VPN-BROWSING
114296297,114270958,114270948,2,5,8738707,8738875,470250.855967,353780.024768,4.96954,1109.546007,2,8713551,201580.770723,1111289.266103,1191072,5190325.909091,12911234,3649348.054004,1010928,4516165.681818,8713551,3563623.115639,VPN-BROWSING
119997469,119996989,119997055,1,4,7478752,7479691,489783.628571,366963.470948,4.783434,1057.888979,1,7453554,209419.666667,1033006.77027,1216004,4611971.923077,7558880,2364894.644452,1111113,4207275.307692,7453554,2608111.185836,VPN-BROWSING
118183137,118157956,118157865,1,4,8012117,8012072,486246.73251,361339.036697,4.839946,1071.464197,1,7986717,206975.721541,1002609.459453,1540389,3373580.714286,8088672,2581230.564461,1311225,3234709.657143,7986717,2606496.939759,VPN-BROWSING
116058368,116033103,116032853,2,5,7832751,7832753,477502.481481,357024.163077,4.911322,1091.562825,2,7807432,203969.012302,1000264.59218,1774234,4141372.785714,7903424,2496839.111215,1009478,3737023.357143,7807432,2698078.479228,VPN-BROWSING
119989521,119963754,119989521,2,4,8286603,8286751,489647.97551,365821.710366,4.792085,1056.092223,2,8261311,209040.977352,1035262.681322,1331019,3746330.25,8358518,2777643.10518,1219546,3526825.3125,8261311,2783438.376188,VPN-BROWSING
111753991,111728773,111728679,2,5,8427949,8427995,450519.245968,342726.009202,5.154178,1154.902826,2,8402681,194354.766957,1017447.943582,1166913,4134795.037037,8506891,2885503.29402,1058635,3874598.037037,8402681,2836855.9866,VPN-BROWSING
119965357,119939598,119965357,2,4,8295239,8294716,495618.173554,367991.892638,4.751372,1051.978697,0,8269359,210835.425308,1047424.557161,1119844,3997990.866667,8373033,2838654.292107,1010054,3717231,8269359,2826862.013024,VPN-BROWSING
111737110,111710982,111711679,1,4,8401771,8401914,459715.975309,343728.243077,5.10126,1129.579958,1,8376496,196374.534271,1022923.545802,1508699,4134327.185185,8493768,2819110.838158,1401755,3881718.592593,8376496,2832575.498837,VPN-BROWSING
113150331,113125072,113125020,1,5,8606607,8606667,465535.27572,354623.887147,4.984519,1116.885818,1,8581379,200977.497336,1079173.755632,1126908,4522031.24,11663018,3440196.597561,1008338,4047748.24,8581379,3308060.303767,VPN-BROWSING
116809710,116783873,116783452,2,5,8870932,8870831,480592.069959,358231.447853,4.888292,1085.94568,2,8845653,204929.315789,1060245.170154,1141976,4322602.185185,10979000,3412377.488934,1000825,3807128.962963,8845653,3194098.500159,VPN-BROWSING
118327224,118301936,118301722,2,5,8152461,8152645,480902.178862,365128.771605,4.834052,1065.925454,2,8127194,207228.063047,1026427.372951,1225394,3694694.875,8226574,2712607.515219,1117712,3449274.6875,8127194,2793873.139794,VPN-BROWSING
119946171,119920631,119920749,2,5,8340727,8340603,483550.931452,363396.209091,4.835502,1085.303507,2,8315194,207160.917098,1052483.226978,1555253,4282877.642857,8428630,2852155.562848,1435972,3972761,8315194,2864629.019415,VPN-BROWSING
118292676,118267139,118267234,2,5,8166907,8166944,499017.464135,373082.757098,4.700206,1046.556762,2,8141588,213139.956757,1043192.027112,1316989,4075782.724138,8242457,2834822.103476,1220179,3765037.551724,8141588,2766915.566284,VPN-BROWSING
240149773,200344,240124018,31,9,65221,239949444,9540.190476,6157026.102564,0.258172,203.406397,6,239949429,3936881.52459,30700000,240149773,240000000,240149773,0,239949429,240000000,239949429,0,VPN-BROWSING
113900544,113875314,113874976,2,5,8663914,8663871,462907.780488,348241.51682,5.048264,1105.192263,2,8638623,198433.003484,1094668.671925,1209203,5172890.136364,12173031,3577068.835102,1047232,4504127.5,8638623,3493366.317802,VPN-BROWSING
118332386,118267287,118307005,2,5,8168801,8168818,486696.654321,362904.923313,4.825391,1058.70425,2,8143419,207600.677193,1036947.735396,1475173,3940094.5,8244428,2787423.714203,1111670,3638620.966667,8143419,2858629.810082,VPN-BROWSING
118134148,118108031,118108874,1,5,7438171,7438051,490074.817427,369090.23125,4.765768,1060.667065,1,7412788,210203.11032,1012078.854999,1362270,4215323.714286,7510480,2293031.038645,1011854,3949275.392857,7412788,2436593.579108,VPN-BROWSING
119789550,119565590,119789550,9,29,17685029,17365153,403937.804054,665497.5,3.990331,1600.039402,6,17365153,251131.132075,1074853.586308,1448267,7681108.6,26277047,7233929.88894,1001789,4095838.933333,17365153,4656228.547949,VPN-BROWSING
70215417,70190180,70188300,3,5,7361771,7361966,302543.87931,221414.195584,7.847279,1548.776674,3,7336610,127664.394545,605535.095603,1118336,2695848.538462,7440516,1701652.875348,1000463,2254979.730769,7336610,1709510.426071,VPN-BROWSING
71869633,71869633,71806428,5,12,58801475,58761352,1562383.326087,957419.04,1.711432,837.252084,4,58735813,589095.352459,5421184.470683,12736463,35900000,59070232,32800000,12184222,35500000,58735813,32900000,VPN-BROWSING
116163018,116137212,116137486,2,15,19104289,19105703,431736.847584,360675.42236,5.104895,1656.895657,2,19079094,196221.314189,1469727.064945,1433053,6814778.176471,21214767,6537496.833039,1130031,6377215.823529,19079094,6156377.165698,VPN-BROWSING
119989788,119989360,119989556,1,8,24139102,24113474,489752.489796,383353.214058,4.667064,1098.07678,1,24113474,214650.783542,1910039.51929,1051506,10900000,27611749,10700000,1012741,9991175,24113474,9803603.538012,VPN-BROWSING
117129479,117104341,117103837,2,11,15642400,15642742,392967.587248,333629.165242,5.557952,2059.336403,0,15617084,180199.198462,1244414.685044,1295211,5840518.2,16355244,4805518.949845,1079268,5474237.25,15617084,4731356.100698,VPN-BROWSING
991149,991149,837479,33,17,136594,146507,39645.96,20936.975,67.598313,43839.019159,10,135413,15017.409091,36161.377356,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
90671929,90459469,90454324,33,32,45211962,45239535,2826858.40625,2917881.419355,0.71687,471.513074,9,45026192,1416748.890625,7892043.083356,45211962,45200000,45247507,25134.110517,44998634,45000000,45026192,19486.44865,VPN-BROWSING
111712242,111686161,111686875,14,9,17223904,17198322,489851.583333,354561.507937,4.878606,858.088588,8,17198322,205353.386029,1462349.323365,1119886,7434647.866667,17541479,5742878.685572,1003910,6537087.2,17198322,6206588.235359,VPN-BROWSING
119135566,119085332,118880600,8,27,10941760,10785637,369830.223602,588517.821782,4.415138,1762.529923,6,10785637,226924.887619,799579.263101,1421753,7257502.133333,12002515,3197269.771034,1111488,3429682.4,10785637,3299864.305082,VPN-BROWSING
94598704,94377977,94381723,17,15,45215962,45225194,3775119.08,2775933.029412,0.644829,431.940378,4,45008973,1576645.066667,8138991.235471,3607941,31500000,45554074,24100000,2503478,30800000,45008973,24500000,VPN-BROWSING
119909700,119780083,119775489,3,19,14478512,14476454,420280.992982,325476.872283,5.462444,1516.341047,3,14346859,183348.165138,1057478.535722,1647572,5205892.782609,16003734,3846205.569777,1023626,4325087.956522,14346859,3796213.536014,VPN-BROWSING
111290047,111264659,111264685,15,11,15636103,15610504,510388.344037,364802.245902,4.717403,835.663229,5,15610504,212385.585878,1443975.287611,4084931,8495135.846154,15998975,4827428.914708,1147042,7455128.923077,15610504,5676202.377492,VPN-BROWSING
112545051,112519841,112519686,13,10,13524985,13587031,513789.228311,366513.635179,4.691455,823.643503,9,13524985,213557.971537,1384417.395906,1390313,8025343.357143,13568933,4131607.980851,1242307,7136295,13524985,4930416.963805,VPN-BROWSING
59694404,59694404,107258,142,0,59564322,80484,4974533.666667,3830.642857,0.703584,649.290342,0,59564322,1455961.073171,9301882.245262,59694404,59700000,59694404,0,59564322,59600000,59564322,0,VPN-BROWSING
115883813,115883813,115820336,13,9,17927675,17863127,529149.83105,382245.333333,4.52177,797.065592,6,17863127,221575.16826,1500058.122419,1721003,7723124.266667,18201427,5251454.826914,1015106,7017122.266667,17863127,5719854.075125,VPN-BROWSING
113399442,113374226,113374149,11,9,17803045,17777487,506134.9375,370503.754902,4.691381,815.815302,3,17777487,213558.271186,1485321.86771,3687615,8708635.769231,18115185,5007715.842583,1147336,7791519.384615,17777487,5778700.274843,VPN-BROWSING
116603610,116603610,116538527,14,12,13997352,13935173,532436.575342,389760.959866,4.459553,783.183299,5,13935173,224669.768786,1424634.363536,3937559,8326009.714286,14276580,3952581.030495,1171522,7399016.142857,13935173,4866249.29489,VPN-BROWSING
113893359,113893359,113828303,14,11,16766177,16703227,517697.086364,381974.171141,4.565674,800.108108,5,16703227,219447.705202,1526608.620645,3564922,8739467.461538,17037745,5234608.891005,1132160,7853683.846154,16703227,5961644.884376,VPN-BROWSING
112949478,112924109,112924136,15,10,16343890,16279003,515635.200913,378940.053691,4.594975,803.235231,10,16279003,218049.185328,1484337.167531,1223127,8054069.642857,16614969,5175426.632194,1172756,7198384,16279003,5785338.871494,VPN-BROWSING
114629807,114604606,114604397,13,10,18362153,18300737,525709.201835,383292.297659,4.527618,790.789083,10,18300737,221293.063707,1554264.3266,1696252,6357843.611111,18651677,5987692.076674,1022394,5961161.555556,18300737,6106399.666992,VPN-BROWSING
119977077,117420681,119976916,8,12,21266985,21205110,553871.136792,412291.80756,4.209137,748.834713,8,21205110,238049.755952,1793813.686333,1742776,8558092.5,23018896,8430771.206139,1076913,7821386.5,21205110,7780892.634611,VPN-BROWSING
119401547,119376336,119398416,11,12,9927964,9928303,552668.222222,464585.276265,3.978173,1137.93333,1,9902728,251901.99789,1300609.030662,1315810,6277109.526316,11111589,3300381.884697,1196263,5899312.631579,9902728,3037311.131284,VPN-BROWSING
119302624,119170321,119171973,38,19,11673510,11671116,559485.075117,375936.823344,4.459248,631.947542,19,11540262,224675.374765,985071.260665,1495757,5034900.130435,11846692,2818842.339146,1006442,4011235.782609,11540262,2719851.34341,VPN-BROWSING
110872134,110846929,110846861,3,9,17661570,17599816,517976.303738,387576.437063,4.527738,805.856231,3,17599816,221301.664671,1446478.379153,1271247,7378910.533333,17942933,4911615.963556,1088291,6621028.066667,17599816,5407976.495248,VPN-BROWSING
119986223,119986223,118695663,10,38,12124581,12303470,433163.259928,682158.982759,3.775433,1381.700297,7,12073529,265456.245575,880327.488054,1841780,5860527.25,25966903,5711222.272169,1017013,3144887.35,12073529,2899592.421465,VPN-BROWSING
117917096,117891778,117891557,3,16,9928569,9929002,558728.805687,453429.065385,4.011293,1129.776805,3,9903298,249824.355932,1277129.04632,1177376,6540047,10019238,3024262.014906,1055755,5945120,9903298,3045846.5774,VPN-BROWSING
63737557,63737557,63523448,19,4,4925697,4925706,205605.022581,211744.826667,9.601874,2749.399385,4,4925682,104316.787234,340451.378125,1054038,3890963,16303656,3584677.856821,1015056,1717115.5,4925682,1093586.468118,VPN-BROWSING
3035850,1029560,2873397,29,26,245240,2006304,36770,92690.225806,20.093219,11700.182815,12,2006290,50597.5,262303.459648,3035850,3035850,3035850,0,2006290,2006290,2006290,0,VPN-BROWSING
119420593,119395359,119394949,4,14,9934355,9935614,588154.477833,477579.796,3.810063,1054.566862,2,9909177,263040.953744,1216436.184645,1876211,4769537.2,10006815,2841297.059522,1327542,4480779.88,9909177,2874373.385917,VPN-BROWSING
115120850,115095654,115095130,7,16,9932433,9932943,566973.665025,462229.437751,3.943682,1092.955794,3,9907298,254129.9117,1271874.388537,1513588,5219078.181818,10018030,3364846.134413,1264372,4921048.409091,9907298,3283677.765532,VPN-BROWSING
119570334,119545180,119544834,6,14,9933997,9934110,588892.512315,482035.620968,3.788565,1052.175701,5,9908486,264536.137168,1268932.558194,1872407,4974962.875,10011936,3088929.018904,1155778,4737665.125,9908486,3081459.431125,VPN-BROWSING
118902609,118877262,118876995,5,16,9936717,9937810,585602.275862,481283.380567,3.80143,1057.991923,0,9911474,263642.148559,1205581.248227,1108367,4749214.4,10006547,2830452.803776,1006133,4422771.68,9911474,2839768.41091,VPN-BROWSING
116866256,116840897,116840554,4,14,9921739,9922120,587140.18593,463652.992063,3.876226,1048.788626,4,9896501,258553.663717,1182358.62643,1213264,4324162.666667,10006171,2870935.250313,1110349,4108821.148148,9896501,2800416.083878,VPN-BROWSING
